model,temperature,seed,bleu_representativeness,folder
goedel-prover-8b,0.2,42,0.0184,loops
goedel-prover-8b,0.2,42,0.092,termination-crafted-lit
goedel-prover-8b,0.2,123,0.1222,termination-restricted-15
goedel-prover-8b,0.2,42,0.0036,termination-restricted-15
goedel-prover-8b,0.2,42,0.0001,termination-nla
goedel-prover-8b,0.2,999,0.055,termination-restricted-15
goedel-prover-8b,0.2,123,0.0,termination-restricted-15
goedel-prover-8b,0.2,42,0.0571,termination-restricted-15
goedel-prover-8b,0.2,123,0.0389,termination-restricted-15
goedel-prover-8b,0.2,999,0.0,loop-invgen
goedel-prover-8b,0.2,999,0.0,array-fpi
goedel-prover-8b,0.2,999,0.259,termination-restricted-15
goedel-prover-8b,0.2,42,0.0135,termination-bwb
goedel-prover-8b,0.2,123,0.1224,recursive-simple
goedel-prover-8b,0.2,123,0.0,termination-bwb
goedel-prover-8b,0.2,999,0.0,termination-bwb
goedel-prover-8b,0.2,42,0.1163,array-fpi
goedel-prover-8b,0.2,123,0.0,loops-crafted-1
goedel-prover-8b,0.2,123,0.1382,loops
goedel-prover-8b,0.2,42,0.2595,termination-restricted-15
goedel-prover-8b,0.2,42,0.208,loop-acceleration
goedel-prover-8b,0.2,42,0.1067,recursive-simple
goedel-prover-8b,0.2,999,0.029,termination-restricted-15
goedel-prover-8b,0.2,999,0.1394,loop-acceleration
goedel-prover-8b,0.2,999,0.1738,loops
goedel-prover-8b,0.2,123,0.1057,loops
goedel-prover-8b,0.2,123,0.1466,loop-acceleration
goedel-prover-8b,0.2,42,0.1191,array-fpi
goedel-prover-8b,0.2,123,0.1759,loops
goedel-prover-8b,0.2,123,0.2352,array-fpi
goedel-prover-8b,0.2,999,0.4563,array-memsafety
goedel-prover-8b,0.2,42,0.0924,loops-crafted-1
goedel-prover-8b,0.2,999,0.2399,recursive-simple
goedel-prover-8b,0.2,999,0.0335,loops-crafted-1
goedel-prover-8b,0.2,123,0.1221,bitvector
