model,temperature,seed,bleu_representativeness,folder
goedel-prover-8b,0.8,42,0.0732,recursive-simple
goedel-prover-8b,0.8,123,0.1591,recursive-simple
goedel-prover-8b,0.8,999,0.0,termination-crafted
goedel-prover-8b,0.8,42,0.0359,termination-numeric
goedel-prover-8b,0.8,999,0.0,recursive-simple
goedel-prover-8b,0.8,999,0.0054,loop-acceleration
goedel-prover-8b,0.8,42,0.0674,recursive-simple
goedel-prover-8b,0.8,42,0.0,termination-nla
goedel-prover-8b,0.8,999,0.2021,recursive-simple
goedel-prover-8b,0.8,999,0.0222,termination-numeric
goedel-prover-8b,0.8,123,0.1586,recursive-simple
goedel-prover-8b,0.8,42,0.0,loops
goedel-prover-8b,0.8,999,0.0,loops
goedel-prover-8b,0.8,42,0.0092,termination-crafted-lit
goedel-prover-8b,0.8,123,0.2128,termination-numeric
goedel-prover-8b,0.8,999,0.0,loops-crafted-1
goedel-prover-8b,0.8,123,0.0,loops
goedel-prover-8b,0.8,42,0.0,termination-crafted-lit
goedel-prover-8b,0.8,123,0.0181,termination-nla
goedel-prover-8b,0.8,123,0.1056,termination-crafted
goedel-prover-8b,0.8,42,0.011,termination-crafted
goedel-prover-8b,0.8,123,0.1826,loop-acceleration
goedel-prover-8b,0.8,999,0.1952,recursive-simple
goedel-prover-8b,0.8,999,0.0001,termination-crafted
goedel-prover-8b,0.8,123,0.0,termination-crafted
goedel-prover-8b,0.8,42,0.2137,recursive-simple
goedel-prover-8b,0.8,123,0.1677,loops-crafted-1
goedel-prover-8b,0.8,123,0.0006,termination-crafted
goedel-prover-8b,0.8,42,0.0002,termination-crafted
goedel-prover-8b,0.8,123,0.0184,loops
goedel-prover-8b,0.8,999,0.0453,termination-crafted-lit
goedel-prover-8b,0.8,42,0.0,loops-crafted-1
goedel-prover-8b,0.8,123,0.0006,termination-crafted
goedel-prover-8b,0.8,123,0.3219,recursive-simple
goedel-prover-8b,0.8,999,0.004,loops
goedel-prover-8b,0.8,999,0.2331,recursive
goedel-prover-8b,0.8,123,0.2625,recursive
goedel-prover-8b,0.8,999,0.09,loops-crafted-1
goedel-prover-8b,0.8,42,0.1015,termination-restricted-15
goedel-prover-8b,0.8,42,0.0567,termination-crafted
goedel-prover-8b,0.8,123,0.0737,termination-restricted-15
goedel-prover-8b,0.8,42,0.0865,loops
goedel-prover-8b,0.8,123,0.167,termination-crafted-lit
goedel-prover-8b,0.8,123,0.1754,recursive-simple
goedel-prover-8b,0.8,123,0.0109,loops-crafted-1
goedel-prover-8b,0.8,42,0.1106,termination-crafted
goedel-prover-8b,0.8,999,0.0639,recursive-simple
goedel-prover-8b,0.8,42,0.4793,termination-numeric
goedel-prover-8b,0.8,42,0.0852,recursive-simple
goedel-prover-8b,0.8,999,0.3049,termination-restricted-15
goedel-prover-8b,0.8,999,0.5356,termination-crafted
goedel-prover-8b,0.8,999,0.2972,termination-numeric
goedel-prover-8b,0.8,123,0.3475,termination-numeric
goedel-prover-8b,0.8,999,0.4252,termination-restricted-15
goedel-prover-8b,0.8,999,0.0001,termination-bwb
goedel-prover-8b,0.8,42,0.1611,termination-bwb
goedel-prover-8b,0.8,42,0.0094,loops-crafted-1
goedel-prover-8b,0.8,42,0.2547,termination-crafted-lit
goedel-prover-8b,0.8,123,0.2063,termination-restricted-15
goedel-prover-8b,0.8,42,0.0058,array-fpi
goedel-prover-8b,0.8,42,0.0,termination-restricted-15
goedel-prover-8b,0.8,999,0.026,termination-nla
goedel-prover-8b,0.8,42,0.0,recursive
goedel-prover-8b,0.8,42,0.0,loops
goedel-prover-8b,0.8,42,0.152,termination-crafted
goedel-prover-8b,0.8,999,0.0,loops
goedel-prover-8b,0.8,123,0.0716,termination-crafted
goedel-prover-8b,0.8,999,0.1876,termination-crafted
goedel-prover-8b,0.8,999,0.1803,recursive
goedel-prover-8b,0.8,123,0.1593,recursive
goedel-prover-8b,0.8,123,0.0144,loop-acceleration
goedel-prover-8b,0.8,123,0.0,array-fpi
goedel-prover-8b,0.8,123,0.1774,termination-bwb
goedel-prover-8b,0.8,42,0.0163,array-fpi
goedel-prover-8b,0.8,999,0.0,bitvector
goedel-prover-8b,0.8,42,0.0,bitvector
goedel-prover-8b,0.8,42,0.0823,loop-acceleration
goedel-prover-8b,0.8,999,0.0608,loop-acceleration
goedel-prover-8b,0.8,42,0.0,loop-invgen
goedel-prover-8b,0.8,999,0.0,loop-invgen
goedel-prover-8b,0.8,42,0.0,termination-crafted
goedel-prover-8b,0.8,999,0.0543,termination-crafted-lit
goedel-prover-8b,0.8,123,0.0011,termination-crafted
goedel-prover-8b,0.8,999,0.4007,termination-crafted-lit
goedel-prover-8b,0.8,123,0.0,bitvector
goedel-prover-8b,0.8,123,0.1511,termination-crafted
goedel-prover-8b,0.8,42,0.0019,termination-crafted
goedel-prover-8b,0.8,42,0.071,termination-crafted
goedel-prover-8b,0.8,999,0.4077,termination-crafted
