model,temperature,seed,bleu_representativeness,folder
goedel-prover-8b,0.5,42,0.0,recursive-simple
goedel-prover-8b,0.5,42,0.0,termination-nla
goedel-prover-8b,0.5,123,0.0,termination-crafted
goedel-prover-8b,0.5,123,0.0,termination-nla
goedel-prover-8b,0.5,42,0.197,recursive-simple
goedel-prover-8b,0.5,123,0.1037,recursive-simple
goedel-prover-8b,0.5,999,0.0,loops-crafted-1
goedel-prover-8b,0.5,999,0.0042,termination-crafted
goedel-prover-8b,0.5,42,0.0,loops-crafted-1
goedel-prover-8b,0.5,123,0.1416,recursive-simple
goedel-prover-8b,0.5,123,0.0007,termination-numeric
goedel-prover-8b,0.5,999,0.0161,recursive-simple
goedel-prover-8b,0.5,42,0.259,loop-acceleration
goedel-prover-8b,0.5,999,0.0351,termination-numeric
goedel-prover-8b,0.5,999,0.0006,termination-nla
goedel-prover-8b,0.5,999,0.0,loop-acceleration
goedel-prover-8b,0.5,123,0.0,termination-crafted-lit
goedel-prover-8b,0.5,42,0.0004,termination-crafted-lit
goedel-prover-8b,0.5,123,0.0,loops
goedel-prover-8b,0.5,42,0.0092,termination-crafted
goedel-prover-8b,0.5,999,0.0138,termination-crafted-lit
goedel-prover-8b,0.5,123,0.0015,termination-crafted-lit
goedel-prover-8b,0.5,42,0.0,loops
goedel-prover-8b,0.5,123,0.0016,loops
goedel-prover-8b,0.5,123,0.2092,termination-crafted
goedel-prover-8b,0.5,123,0.0054,termination-crafted
goedel-prover-8b,0.5,123,0.0298,loops-crafted-1
goedel-prover-8b,0.5,999,0.2433,loops
goedel-prover-8b,0.5,999,0.0972,termination-crafted-lit
goedel-prover-8b,0.5,42,0.0119,termination-crafted
goedel-prover-8b,0.5,999,0.2446,recursive-simple
goedel-prover-8b,0.5,42,0.2261,termination-crafted
goedel-prover-8b,0.5,999,0.0,termination-crafted
goedel-prover-8b,0.5,123,0.1357,loop-acceleration
goedel-prover-8b,0.5,42,0.0971,termination-crafted-lit
goedel-prover-8b,0.5,42,0.0148,termination-restricted-15
goedel-prover-8b,0.5,42,0.1993,recursive-simple
goedel-prover-8b,0.5,123,0.0283,loops-crafted-1
goedel-prover-8b,0.5,999,0.0026,loops
goedel-prover-8b,0.5,42,0.0819,loops
goedel-prover-8b,0.5,42,0.0722,loops-crafted-1
goedel-prover-8b,0.5,42,0.0006,termination-crafted
goedel-prover-8b,0.5,999,0.0,termination-crafted
goedel-prover-8b,0.5,999,0.0,recursive-simple
goedel-prover-8b,0.5,999,0.1536,termination-crafted
goedel-prover-8b,0.5,123,0.2047,termination-crafted
goedel-prover-8b,0.5,42,0.0,recursive-simple
goedel-prover-8b,0.5,999,0.0,termination-restricted-15
goedel-prover-8b,0.5,123,0.2221,termination-restricted-15
goedel-prover-8b,0.5,123,0.0003,recursive-simple
goedel-prover-8b,0.5,999,0.1557,loops-crafted-1
goedel-prover-8b,0.5,123,0.0001,termination-bwb
goedel-prover-8b,0.5,123,0.339,termination-numeric
goedel-prover-8b,0.5,123,0.0056,termination-crafted-lit
goedel-prover-8b,0.5,123,0.0,array-fpi
goedel-prover-8b,0.5,999,0.1815,termination-bwb
goedel-prover-8b,0.5,999,0.1263,recursive
goedel-prover-8b,0.5,123,0.2559,termination-restricted-15
goedel-prover-8b,0.5,42,0.2124,termination-bwb
goedel-prover-8b,0.5,42,0.2089,recursive
goedel-prover-8b,0.5,999,0.24,termination-crafted
goedel-prover-8b,0.5,42,0.3075,termination-crafted
goedel-prover-8b,0.5,42,0.0078,loops
goedel-prover-8b,0.5,999,0.331,recursive
goedel-prover-8b,0.5,123,0.3594,recursive
goedel-prover-8b,0.5,999,0.0,array-fpi
goedel-prover-8b,0.5,123,0.0,array-fpi
goedel-prover-8b,0.5,42,0.1741,recursive
goedel-prover-8b,0.5,42,0.3253,termination-numeric
goedel-prover-8b,0.5,42,0.2624,termination-restricted-15
goedel-prover-8b,0.5,42,0.0,bitvector
goedel-prover-8b,0.5,123,0.0,bitvector
goedel-prover-8b,0.5,999,0.4087,termination-numeric
goedel-prover-8b,0.5,42,0.0967,array-fpi
goedel-prover-8b,0.5,123,0.0,loops
goedel-prover-8b,0.5,42,0.0413,array-fpi
goedel-prover-8b,0.5,123,0.1541,recursive
goedel-prover-8b,0.5,42,0.2107,termination-numeric
goedel-prover-8b,0.5,123,0.2011,recursive-simple
goedel-prover-8b,0.5,999,0.0,loops
goedel-prover-8b,0.5,123,0.1006,termination-crafted
goedel-prover-8b,0.5,999,0.0,bitvector
goedel-prover-8b,0.5,123,0.0036,termination-crafted
goedel-prover-8b,0.5,123,0.0,loop-invgen
goedel-prover-8b,0.5,999,0.0973,recursive-simple
goedel-prover-8b,0.5,42,0.3233,termination-crafted
goedel-prover-8b,0.5,999,0.2479,termination-restricted-15
goedel-prover-8b,0.5,123,0.3052,termination-crafted
goedel-prover-8b,0.5,999,0.0189,termination-crafted
goedel-prover-8b,0.5,999,0.0,loop-invgen
goedel-prover-8b,0.5,999,0.0257,termination-crafted
goedel-prover-8b,0.5,123,0.0932,loop-acceleration
goedel-prover-8b,0.5,42,0.0,loop-invgen
goedel-prover-8b,0.5,42,0.0043,termination-crafted
goedel-prover-8b,0.5,999,0.4258,termination-crafted
goedel-prover-8b,0.5,999,0.1663,loop-acceleration
goedel-prover-8b,0.5,999,0.3193,termination-crafted
goedel-prover-8b,0.5,123,0.2946,termination-crafted-lit
goedel-prover-8b,0.5,123,0.0722,termination-crafted
goedel-prover-8b,0.5,42,0.057,termination-crafted
goedel-prover-8b,0.5,42,0.2025,termination-crafted-lit
goedel-prover-8b,0.5,999,0.3093,termination-crafted-lit
goedel-prover-8b,0.5,123,0.198,array-memsafety
goedel-prover-8b,0.5,42,0.0,loop-industry-pattern
