property,original_index,s42_pass,s42_errors,s123_pass,s123_errors,s999_pass,s999_errors,s999_complete,s123_complete,s42_complete
no-overflow,0,False,no code,False,no code,False,no code,,,
valid-memsafety,1,False,no code,False,no code,True,[],True,,
unreach-call,2,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 34}, ""endPos"": {""line"": 12, ""column"": 36}, ""data"": ""failed to synthesize\n  OfNat int (nat_lit 10)\nnumerals are polymorphic in Lean, but the numeral `10` cannot be used in a context where the expected type is\n  int\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 47}, ""endPos"": {""line"": 12, ""column"": 49}, ""data"": ""failed to synthesize\n  OfNat int (nat_lit 10)\nnumerals are polymorphic in Lean, but the numeral `10` cannot be used in a context where the expected type is\n  int\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}]",False,no code,,False,
no-overflow,3,False,no code,False,no code,False,no code,,,
termination,4,False,no code,False,no code,False,no code,,,
termination,5,False,no code,False,no code,True,[],False,,
unreach-call,6,False,no code,False,no code,False,no code,,,
unreach-call,7,False,no code,False,no code,False,no code,,,
unreach-call,8,False,no code,False,no code,False,no code,,,
termination,9,False,Theorem is missing a header,False,no code,False,no code,,,False
no-overflow,10,False,no code,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 45}, ""endPos"": {""line"": 2, ""column"": 48}, ""data"": ""unexpected token '=>'; expected ':=', 'where' or '|'""}]",False,True,
def-behavior,11,False,no code,False,no code,True,[],True,,
valid-memsafety,12,True,[],False,no code,False,no code,,,True
no-overflow,13,False,no code,False,no code,False,no code,,,
