model,temperature,seed,bleu_representativeness,folder
kimina-prover-1.7b,0.8,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,999,0.0,termination-crafted
kimina-prover-1.7b,0.8,999,0.0002,recursive-simple
kimina-prover-1.7b,0.8,123,0.0,loop-acceleration
kimina-prover-1.7b,0.8,42,0.0,termination-numeric
kimina-prover-1.7b,0.8,123,0.0002,recursive-simple
kimina-prover-1.7b,0.8,123,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,recursive-simple
kimina-prover-1.7b,0.8,42,0.0,recursive-simple
kimina-prover-1.7b,0.8,999,0.0,termination-numeric
kimina-prover-1.7b,0.8,42,0.0,loop-acceleration
kimina-prover-1.7b,0.8,123,0.0639,recursive-simple
kimina-prover-1.7b,0.8,999,0.0002,recursive-simple
kimina-prover-1.7b,0.8,42,0.0,termination-nla
kimina-prover-1.7b,0.8,123,0.0,termination-nla
kimina-prover-1.7b,0.8,123,0.0,termination-numeric
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0164,recursive-simple
kimina-prover-1.7b,0.8,42,0.0394,termination-crafted-lit
kimina-prover-1.7b,0.8,999,0.0,recursive-simple
kimina-prover-1.7b,0.8,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,123,0.0,loops
kimina-prover-1.7b,0.8,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,123,0.0,recursive-simple
kimina-prover-1.7b,0.8,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,999,0.0,loops
kimina-prover-1.7b,0.8,999,0.1809,termination-crafted-lit
kimina-prover-1.7b,0.8,999,0.0,loop-acceleration
kimina-prover-1.7b,0.8,999,0.0084,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,loops
kimina-prover-1.7b,0.8,123,0.0,recursive
kimina-prover-1.7b,0.8,123,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,123,0.0,loops
kimina-prover-1.7b,0.8,999,0.0005,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0001,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,recursive
kimina-prover-1.7b,0.8,999,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,123,0.0002,termination-crafted
kimina-prover-1.7b,0.8,999,0.0,recursive
kimina-prover-1.7b,0.8,123,0.1267,loops-crafted-1
kimina-prover-1.7b,0.8,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0001,loops
kimina-prover-1.7b,0.8,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,999,0.0,loops
kimina-prover-1.7b,0.8,42,0.0,termination-numeric
kimina-prover-1.7b,0.8,123,0.0,termination-crafted
kimina-prover-1.7b,0.8,123,0.0468,recursive-simple
kimina-prover-1.7b,0.8,123,0.0,termination-numeric
kimina-prover-1.7b,0.8,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,123,0.001,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0611,recursive-simple
kimina-prover-1.7b,0.8,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,42,0.0,recursive
kimina-prover-1.7b,0.8,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,123,0.0,recursive
kimina-prover-1.7b,0.8,999,0.1237,recursive-simple
kimina-prover-1.7b,0.8,42,0.4698,termination-restricted-15
kimina-prover-1.7b,0.8,123,0.4639,termination-bwb
kimina-prover-1.7b,0.8,999,0.0398,termination-nla
kimina-prover-1.7b,0.8,999,0.0001,termination-bwb
kimina-prover-1.7b,0.8,999,0.4915,termination-crafted-lit
kimina-prover-1.7b,0.8,42,0.0,array-fpi
kimina-prover-1.7b,0.8,999,0.0,array-fpi
kimina-prover-1.7b,0.8,123,0.0008,termination-crafted
kimina-prover-1.7b,0.8,999,0.0,recursive
kimina-prover-1.7b,0.8,999,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0001,termination-bwb
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,123,0.0,array-fpi
kimina-prover-1.7b,0.8,999,0.0,loops
kimina-prover-1.7b,0.8,999,0.0,termination-numeric
kimina-prover-1.7b,0.8,42,0.0,loop-acceleration
kimina-prover-1.7b,0.8,123,0.0,loops
kimina-prover-1.7b,0.8,42,0.0,loops
kimina-prover-1.7b,0.8,42,0.0,loop-invgen
kimina-prover-1.7b,0.8,123,0.0,termination-crafted
kimina-prover-1.7b,0.8,123,0.0,loop-acceleration
kimina-prover-1.7b,0.8,999,0.0,loop-acceleration
kimina-prover-1.7b,0.8,999,0.0,termination-crafted
kimina-prover-1.7b,0.8,123,0.0,bitvector
kimina-prover-1.7b,0.8,999,0.0,bitvector
kimina-prover-1.7b,0.8,999,0.0,array-fpi
kimina-prover-1.7b,0.8,123,0.0,loop-invgen
kimina-prover-1.7b,0.8,42,0.0,bitvector
kimina-prover-1.7b,0.8,123,0.0033,termination-crafted
kimina-prover-1.7b,0.8,999,0.1886,termination-crafted
kimina-prover-1.7b,0.8,42,0.0002,array-fpi
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,999,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0001,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,999,0.0,array-memsafety
kimina-prover-1.7b,0.8,42,0.0,array-memsafety
kimina-prover-1.7b,0.8,42,0.0,loop-industry-pattern
kimina-prover-1.7b,0.8,123,0.0142,array-fpi
kimina-prover-1.7b,0.8,123,0.0001,termination-crafted
kimina-prover-1.7b,0.8,123,0.0004,array-memsafety
kimina-prover-1.7b,0.8,999,0.0,loops
kimina-prover-1.7b,0.8,999,0.0,bitvector
kimina-prover-1.7b,0.8,123,0.0001,bitvector
kimina-prover-1.7b,0.8,123,0.0,loops
kimina-prover-1.7b,0.8,42,0.0,termination-crafted
kimina-prover-1.7b,0.8,42,0.0,bitvector
kimina-prover-1.7b,0.8,42,0.0,loops
kimina-prover-1.7b,0.8,123,0.0004,termination-crafted
kimina-prover-1.7b,0.8,123,0.0,loop-industry-pattern
kimina-prover-1.7b,0.8,123,0.0,termination-nla
kimina-prover-1.7b,0.8,999,0.0001,termination-crafted
kimina-prover-1.7b,0.8,999,0.0,termination-nla
kimina-prover-1.7b,0.8,999,0.0001,recursive-simple
kimina-prover-1.7b,0.8,42,0.0,termination-nla
kimina-prover-1.7b,0.8,123,0.0,recursive-simple
kimina-prover-1.7b,0.8,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-nla
kimina-prover-1.7b,0.8,123,0.0,termination-nla
kimina-prover-1.7b,0.8,42,0.0,recursive-simple
kimina-prover-1.7b,0.8,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,123,0.0495,termination-crafted-lit
kimina-prover-1.7b,0.8,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.8,42,0.0,termination-bwb
kimina-prover-1.7b,0.8,42,0.0,array-fpi
kimina-prover-1.7b,0.8,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,999,0.0,termination-bwb
kimina-prover-1.7b,0.8,123,0.0,array-fpi
kimina-prover-1.7b,0.8,999,0.0,loop-acceleration
kimina-prover-1.7b,0.8,999,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.8,999,0.389,termination-crafted
kimina-prover-1.7b,0.8,999,0.0215,termination-restricted-15
kimina-prover-1.7b,0.8,123,0.0,loop-acceleration
kimina-prover-1.7b,0.8,123,0.0166,termination-bwb
kimina-prover-1.7b,0.8,123,0.0592,termination-crafted-lit
